Dataset,Seed,Method,OS-HM
ToN-IoT,46,DOC,0.2594
ToN-IoT,47,DOC,0.2043
ToN-IoT,48,DOC,0.1862
ToN-IoT,49,DOC,0.1304
ToN-IoT,50,DOC,0.3592
ToN-IoT,51,DOC,0.1116
N-BaIoT,42,DOC,0.102
N-BaIoT,43,DOC,0.0987
N-BaIoT,44,DOC,0.2127
N-BaIoT,45,DOC,0.2682
N-BaIoT,46,DOC,0.3341
N-BaIoT,47,DOC,0.4185
N-BaIoT,48,DOC,0.2379
N-BaIoT,49,DOC,0.1059
N-BaIoT,50,DOC,0.0072
N-BaIoT,51,DOC,0.2919
CICIDS2018,42,DOC,0.0448
CICIDS2018,43,DOC,0.0579
CICIDS2018,44,DOC,0.211
CICIDS2018,45,DOC,0.2136
CICIDS2018,46,DOC,0.0557
CICIDS2018,47,DOC,0.1377
CICIDS2018,48,DOC,0.1753
CICIDS2018,49,DOC,0.1419
CICIDS2018,50,DOC,0.2149
CICIDS2018,51,DOC,0.1658
Edge-IIoTset,42,DOC,0.1847
Edge-IIoTset,43,DOC,0.1608
Edge-IIoTset,44,DOC,0.0724
Edge-IIoTset,45,DOC,0.0634
Edge-IIoTset,46,DOC,0.1549
Edge-IIoTset,47,DOC,0.0491
Edge-IIoTset,48,DOC,0.1231
Edge-IIoTset,49,DOC,0.038
Edge-IIoTset,50,DOC,0.0869
Edge-IIoTset,51,DOC,0.1066
CICIoT2023 (7-category),42,DOC,0.0941
CICIoT2023 (7-category),43,DOC,0.084
CICIoT2023 (7-category),44,DOC,0.1745
CICIoT2023 (7-category),45,DOC,0.0771
CICIoT2023 (7-category),46,DOC,0.1134
CICIoT2023 (7-category),47,DOC,0.0861
CICIoT2023 (7-category),48,DOC,0.1796
CICIoT2023 (7-category),49,DOC,0.0796
CICIoT2023 (7-category),50,DOC,0.0715
CICIoT2023 (7-category),51,DOC,0.1235
NSL-KDD,42,DOC,0.3955
NSL-KDD,43,DOC,0.1075
NSL-KDD,44,DOC,0.2964
NSL-KDD,45,DOC,0.3699
NSL-KDD,46,DOC,0.2853
NSL-KDD,47,DOC,0.1597
NSL-KDD,48,DOC,0.3274
NSL-KDD,49,DOC,0.4844
NSL-KDD,50,DOC,0.3368
NSL-KDD,51,DOC,0.5591
5G-NIDD,42,BiC,0.2893
5G-NIDD,43,BiC,0.231
5G-NIDD,44,BiC,0.2838
5G-NIDD,45,BiC,0.3024
5G-NIDD,46,BiC,0.1634
